M77,106,118,103,109,216,218,173,183,135,141,97,111,150,150,148,150,162,162,192,198,230,230
M78,114,118,103,109,216,218,173,177,135,141,95,95,158,158,148,152,160,162,192,198,230,233
M79,118,118,103,105,218,218,173,177,141,143,95,111,150,158,146,148,160,162,192,198,230,233
M80,112,118,103,105,218,220,173,177,141,141,95,109,158,158,146,150,160,164,196,198,221,230
M81,112,114,99,103,218,220,173,177,141,141,95,109,150,158,148,152,162,164,192,192,221,230
M82,114,118,99,103,216,218,173,177,135,141,95,95,150,158,146,146,162,162,192,192,230,230
M83,112,118,103,105,218,220,173,177,141,141,95,95,150,158,146,146,162,162,192,192,230,230
M84,112,118,103,105,218,220,173,177,141,141,109,111,150,158,148,152,162,162,192,198,230,230
M85,114,118,99,103,218,218,173,173,141,141,109,111,158,158,148,148,160,164,192,196,230,230
M86,106,118,103,109,216,218,173,183,135,143,109,111,158,158,146,152,162,164,192,192,230,230
M87,112,114,99,103,216,218,173,177,135,141,95,109,150,158,148,148,162,164,196,198,230,230
M88,106,118,103,105,216,220,169,173,135,143,95,109,150,158,148,148,162,164,196,198,230,230
M89,118,118,103,111,-1,-1,167,171,141,141,109,111,150,158,146,150,162,164,196,198,230,230
M90,114,118,103,105,216,220,173,183,135,141,107,111,158,158,146,152,160,162,192,192,230,230
M91,114,118,103,111,218,220,173,173,135,141,107,109,150,154,150,152,160,162,194,196,221,230
M92,114,114,99,111,212,218,173,177,141,143,95,95,150,158,146,150,160,164,-1,-1,-1,-1
M93,114,118,103,105,218,220,169,173,135,141,95,95,150,158,146,150,160,164,192,196,230,230
M94,-1,-1,-1,-1,-1,-1,173,173,143,143,93,107,154,160,150,150,160,162,192,194,221,230
M95,114,118,103,105,216,218,173,183,143,143,95,95,150,158,-1,-1,162,164,192,196,230,230
M96,114,118,99,105,212,220,177,177,143,143,95,109,154,158,146,152,162,162,194,198,230,230
M97,114,118,99,103,216,218,173,173,141,141,107,111,150,154,150,160,160,162,-1,-1,-1,-1
M98,114,118,99,103,216,218,173,173,141,143,95,103,-1,-1,150,150,-1,-1,-1,-1,-1,-1
M99,114,118,99,103,218,220,173,177,135,141,107,111,154,158,148,152,160,164,192,196,230,230
